"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,2746361.55670610327268796,1194228307.44033946094130463
"BRA",2002,3507049.44035898343759338,1624101189.5148378312636639
"BRA",2003,3248526.73442801016357618,1488845267.8791876672481835
"BRA",2004,3848770.78970869446683052,1887603880.4180348645781772
"BRA",2005,3486562.70549620980130441,1815445473.4486745893422360
"BRA",2006,2876804.74696718297833946,1459737101.4357000474129815
"BRA",2007,2621820.17792643908222517,1273474115.491571697920739
"BRA",2008,2444308.03831688640569266,1237236225.832993891133736
"BRA",2009,1817901.23275872078415708,929961410.111755679274200
"BRA",2010,2688896.17626596764395677,1371876086.531531943567606
"BRA",2011,1923363.69454661606524078,1011306897.1537415740919676
"BRA",2012,2918633.14102396125813922,1487905823.780484841493705
"BRA",2013,1945506.25269363347586123,996822803.244560974379954
"BRA",2014,2693134.29548953231311351,1442015314.7790918061498725
"BRA",2015,2222772.41753093349828631,1279708953.356429037239430
"BRA",2016,5378844.03454081200404171,3237876508.252063358349638
"BRA",2017,4519833.17143370521430855,2633355719.4173594297492419
"BRA",2018,2948462.08026937866123689,1814375336.216795493075229
"BRA",2019,2696748.79925482636177378,1610956854.650230201680402
"BRA",2020,3291391.78652611686345218,1903414739.715188589935146
"BRA",2021,2991909.30595056204607482,1985684942.874447292246246
"BRA",2022,3308930.39154352442076559,2202634112.882891536720546
"BRA",2023,2806057.58670083913591823,1801569589.959034517570371
