"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",2001,744087.98910984775480522,491971247.5826990703564610
"IDN",2002,855275.86303372947508106,628290349.4353766696935320
"IDN",2003,544810.29664145703361061,427375749.2001616206994482
"IDN",2004,1289042.65705546691479146,976271170.3904542643826551
"IDN",2005,1182441.78450057429441802,939625587.1346449606991025
"IDN",2006,1433150.23419092986020618,1019021507.5695583205879319
"IDN",2007,1387625.29248693114505512,1146572731.5115592711988972
"IDN",2008,1396251.28979239257074951,1025817289.4253192769660959
"IDN",2009,1944963.17245194133989432,1394856075.9932714413000635
"IDN",2010,1279331.97455082461531518,1025397797.717115037158374
"IDN",2011,1543628.92250057146919397,1218955440.641625824269690
"IDN",2012,2260260.50460391126433584,1753357093.1925740298631180
"IDN",2013,1139298.66876672772063214,857803257.682666735796811
"IDN",2014,1894360.72722876740848725,1390869653.2123227551348625
"IDN",2015,1746470.53460299749796302,1260846896.386918844259314
"IDN",2016,2422071.53667220764189833,1789614733.408668702949590
"IDN",2017,1300719.37590373532000611,828088380.379510262705192
"IDN",2018,1218732.51605522378190764,760465572.956481464504463
"IDN",2019,1176884.14370229395363841,736001170.840423615669039
"IDN",2020,961587.94314016501701312,592381322.895179431493255
"IDN",2021,841391.39098463846707426,511290702.043653462720553
"IDN",2022,885238.41627381385969740,543923965.461398782006687
"IDN",2023,1395285.15939764688077122,841534645.423466561927804
