Year,GDP Per Capita ($)
1960,244.611
1961,235.5297
1962,240.4418
1963,292.5758
1964,302.6762
1965,325.1933
1966,336.5564
1967,332.8007
1968,339.0965
1969,364.2086
1970,374.9229
1971,402.2149
1972,466.9066
1973,692.6815
1974,837.7634
1975,800.3824
1976,927.8052
1977,1075.3393
1978,1304.0673
1979,1647.6308
1980,1852.9636
1981,1843.3494
1982,1925.4678
1983,2123.2586
1984,2311.1704
1985,2065.0883
1986,1782.5422
1987,2007.1729
1988,2134.5191
1989,2282.47
1990,2513.2414
1991,2727.5286
1992,3193.6354
1993,3511.5326
1994,3802.1076
1995,4405.1168
1996,4874.8197
1997,4706.3149
1998,3308.8357
1999,3538.363
2000,4087.5626
2001,3941.1227
2002,4177.1049
2003,4454.5268
2004,4924.3381
2005,5536.8375
2006,6137.1505
2007,7144.0002
2008,8343.3034
2009,7167.8772
2010,8880.1458
2011,10209.3719
2012,10601.5105
2013,10727.669
2014,11045.5801
2015,9699.6005
2016,9555.6696
2017,9979.7045
2018,11073.979
2019,11132.1027
2020,10164.3444
2021,11134.623
2022,11993.1876
