Year,Total_Death_Disaster_per_100000,Total_Affected_Disaster_per_100000,Forest area (% of land area),Total GHG Emissions per Capita (metric tons of CO2 equivalent per capita),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Forest area certified under an independently verified certification scheme (thousands of hectares),Red List Index,GDP Per Capita ($)
1960,,,,,,,,103.801
1961,,,,,,,,110.7315
1962,2.722878203356441,0.0,,,,,,117.1621
1963,,,,,,,,121.6043
1964,,,,,,,,129.579
1965,,,,,,,,141.852
1966,0.0188183612255947,643.5879539153389,,,,,,165.5775
1967,,,,,,,,171.6984
1968,0.0,1.4789680246225696,,,,,,179.8724
1969,,,,,,,,192.4634
1970,,,,,,,,197.9937
1971,,,,,,,,200.3641
1972,,,,,,,,216.1492
1973,,,,,,,,278.82
1974,,,,,,,,343.4253
1975,0.5842310752704495,7333.6717962399525,,,,,,363.8066
1976,,,,,,,,405.5479
1977,0.23340598950578662,6.535367706162026,,,,,,461.661
1978,0.3332822376660747,4630.340348505931,,,,,,548.0111
1979,0.22341330807392681,0.25692530428501587,,,,,,611.5191
1980,0.20770587483823266,1378.1831389924205,,,,,,707.37
1981,0.1177042316083714,92.02330834836309,,,,,,745.732
1982,0.014674947809596325,0.14674947809596325,,,,,,767.0757
1983,0.16437039512485627,2054.7326705576565,,,,,,822.7313
1984,0.03424883560002872,1583.8494901476574,,,,,,842.071
1985,0.03557668019766404,15.10032426167518,,,,,,768.8656
1986,0.08148679407553756,53.93843719271476,,,,,,836.1471
1987,0.48781249082374206,0.011433105253681455,,,,,,962.9618
1988,1.572710772029676,2087.2568020442995,,,,,,1154.5804
1989,1.089757669556169,366.3205679758068,,,,,,1329.9967
1990,0.5196600807446747,0.17563424331788657,37.8966117951027,2.860428458831243,,,,1545.277
1991,0.9893071935199844,7898.2560831474375,37.8255593180528,3.0200166898797347,,,,1751.0687
1992,0.2810023776313677,678.7015301633221,37.754506841003,3.195846712851749,,,,1957.4054
1993,0.6940588321651856,1910.960317454548,37.6834543639531,3.458123877281952,,,0.84234,2230.8412
1994,0.6022861965046585,340.0050605690052,37.6124018869032,3.66748889140268,,,0.84167,2502.7086
1995,0.5149362301962845,7204.304516862428,37.5413494098534,3.928861127319262,,,0.8407,2848.6225
1996,0.1860122260521549,8874.503795778772,37.4702969328035,4.236821478884889,,,0.83913,3039.8921
1997,0.6115846127803672,82.7983908208659,37.3992444557537,4.341915290841768,,,0.83667,2462.4144
1998,0.16357542317812246,0.07288013903975753,37.3281919787038,3.938397131230424,,,0.83346,1841.043
1999,0.09128376051811125,10063.413226962448,37.257139501654,4.104705413612244,,,0.83069,2028.5688
2000,0.48203008492466287,5340.817230951856,37.1860870246041,4.081725969924209,63.15367,0.0,0.82744,2004.1071
2001,0.391202549094663,739.2502724120883,37.3965041398344,4.2319388051750355,63.32346,0.588,0.82448,1889.9714
2002,0.33477322150558264,13008.136702075812,37.6069212550647,4.383102706244439,63.35953,1.176,0.82149,2091.1789
2003,0.024700141822039307,173.9877989944449,37.817338370295,4.5047984070137534,63.35953,1.7639999999999998,0.81849,2350.8455
2004,12.904378402921179,898.3134675623461,38.0277554855253,4.746442862465509,63.35953,2.352,0.81594,2647.2607
2005,0.17167679306535144,1250.4679332058772,38.2381726007555,4.872529112130166,63.35953,2.94,0.81334,2876.2458
2006,0.4221984400521566,3856.0408869032162,38.4485897159858,4.905054211410592,63.35953,3.88,0.81015,3343.786
2007,0.3187346193711578,274.152175639116,38.6590068312161,5.076486246810671,64.22254,4.819999999999999,0.80729,3934.6909
2008,0.10545352300095061,17189.19753715822,38.8694239464464,5.0962608245256495,65.10794,5.76,0.805,4327.7975
2009,0.14451366976921787,295.30778565626326,39.0798410616767,4.996016343552288,66.74307,6.699999999999999,0.80281,4154.1874
2010,0.3808380514163301,22637.06504284743,39.290258176907,5.2909781955714426,66.74307,7.64,0.79994,4996.3721
2011,1.3607353710833052,16378.099082084302,39.2855604924739,5.2579816894791405,66.7963,14.96,0.79743,5396.6436
2012,0.017351816893564086,17692.59790144524,39.2808628080409,5.547704508622356,66.7963,22.28,0.79385,5748.6327
2013,0.2931935884541055,5052.234306173614,39.2761651236078,5.666870445313058,67.63735,29.6,0.79123,6041.1339
2014,0.25442767402377636,1645.0335725177404,39.2714674391748,5.5598656396040855,67.63735,36.92,0.7886,5822.3778
2015,0.02276141582095085,2.0485274238855764,39.2667697547417,5.59627815428874,67.63735,44.24,0.78575,5708.7941
2016,0.18128504670150652,1145.6875042072647,39.1806455401358,5.758708686501035,67.95881,61.8,0.78203,5854.4639
2017,0.21157095069914467,5386.678212234494,39.1101802736401,5.849697869630036,67.95881,63.37,0.77951,6436.7897
2018,0.13075056080040262,0.01827696011188424,39.0397150071444,5.884391802237893,68.03098,56.88,0.77658,7124.5588
2019,0.036461668275865,1232.523589332062,38.9692497406487,6.060367831199529,68.03098,75.78,0.7737,7628.576
2020,0.08674281081180302,1673.4702877331786,38.8987844741529,6.068827258463804,68.03098,88.67,0.77138,7001.7855
2021,0.023742651003574623,1339.2042298566266,38.8283192076572,,68.03098,118.05,0.76866,7060.8977
2022,0.1046068435470758,1927.2555641426152,,,68.03919,125.64,0.76536,6909.9563
2023,0.0431747183779275,377.92502275621024,,,68.03919,150.22,0.76191,
