Year,Total Deaths,Total Affected
1962,769.0,0.0
1966,6.0,205200.0
1968,0.0,500.0
1975,239.0,3000093.0
1977,100.0,2800.0
1978,146.0,2028400.0
1979,100.0,115.0
1980,95.0,630350.0
1981,55.0,43000.0
1982,7.0,70.0
1983,80.0,1000050.0
1984,17.0,786171.0
1985,18.0,7640.0
1986,42.0,27801.0
1987,256.0,6.0
1988,840.0,1114824.0
1989,592.0,199000.0
1990,287.0,97.0
1991,555.0,4430911.0
1992,160.0,386446.0
1993,401.0,1104078.0
1994,353.0,199277.0
1995,306.0,4281146.0
1996,112.0,5343436.0
1997,373.0,50498.0
1998,101.0,45.0
1999,57.0,6283862.0
2000,304.0,3368272.0
2001,249.0,470532.0
2002,215.0,8354161.0
2003,16.0,112704.0
2004,8428.0,586699.0
2005,113.0,823075.0
2006,280.0,2557308.0
2007,213.0,183207.0
2008,71.0,11573184.0
2009,98.0,200259.0
2010,260.0,15454435.0
2011,935.0,11253858.0
2012,12.0,12235674.0
2013,204.0,3515274.0
2014,178.0,1150881.0
2015,16.0,1440.0
2016,128.0,808936.0
2017,150.0,3819058.0
2018,93.0,13.0
2019,26.0,878885.0
2020,62.0,1196124.0
2021,17.0,958885.0
2022,75.0,1381785.0
2023,31.0,271355.0
2024,24.0,44468.0
