Year,GDP Per Capita ($)
1960,103.801
1961,110.7315
1962,117.1621
1963,121.6043
1964,129.579
1965,141.852
1966,165.5775
1967,171.6984
1968,179.8724
1969,192.4634
1970,197.9937
1971,200.3641
1972,216.1492
1973,278.82
1974,343.4253
1975,363.8066
1976,405.5479
1977,461.661
1978,548.0111
1979,611.5191
1980,707.37
1981,745.732
1982,767.0757
1983,822.7313
1984,842.071
1985,768.8656
1986,836.1471
1987,962.9618
1988,1154.5804
1989,1329.9967
1990,1545.277
1991,1751.0687
1992,1957.4054
1993,2230.8412
1994,2502.7086
1995,2848.6225
1996,3039.8921
1997,2462.4144
1998,1841.043
1999,2028.5688
2000,2004.1071
2001,1889.9714
2002,2091.1789
2003,2350.8455
2004,2647.2607
2005,2876.2458
2006,3343.786
2007,3934.6909
2008,4327.7975
2009,4154.1874
2010,4996.3721
2011,5396.6436
2012,5748.6327
2013,6041.1339
2014,5822.3778
2015,5708.7941
2016,5854.4639
2017,6436.7897
2018,7124.5588
2019,7628.576
2020,7001.7855
2021,7060.8977
2022,6909.9563
