Macrotrends Data Download

Thailand GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,2.760750860622,103.801,0
1961-12-31,3.034037810968,110.7315,5.3621
1962-12-31,3.3089127969349,117.1621,7.5543
1963-12-31,3.540403456553,121.6043,7.9998
1964-12-31,3.8891299423077,129.579,6.831
1965-12-31,4.3889376490385,141.852,8.1817
1966-12-31,5.2792308173077,165.5775,11.1225
1967-12-31,5.6384614423077,171.6984,8.616
1968-12-31,6.0810094278846,179.8724,8.1223
1969-12-31,6.6953365673077,192.4634,6.5507
1970-12-31,7.0865384375,197.9937,11.4079
1971-12-31,7.3750000240385,200.3641,4.8954
1972-12-31,8.1778731510422,216.1492,4.2785
1973-12-31,10.838587357747,278.82,10.2364
1974-12-31,13.702998512449,343.4253,4.4663
1975-12-31,14.88277059398,363.8066,4.9704
1976-12-31,16.985208648211,405.5479,9.3268
1977-12-31,19.779312261315,461.661,9.8435
1978-12-31,24.006566636686,548.0111,10.2957
1979-12-31,27.371650824509,611.5191,5.3718
1980-12-31,32.353514988729,707.37,5.1735
1981-12-31,34.846039193613,745.732,5.9069
1982-12-31,36.589772403757,767.0757,5.3523
1983-12-31,40.042798388495,822.7313,5.5842
1984-12-31,41.797647775624,842.071,5.7524
1985-12-31,38.900711332537,768.8656,4.6472
1986-12-31,43.096773980857,836.1471,5.5338
1987-12-31,50.535446554877,962.9618,9.5189
1988-12-31,61.667253471374,1154.5804,13.2881
1989-12-31,72.250748099976,1329.9967,12.1905
1990-12-31,85.343190719011,1545.277,11.1672
1991-12-31,98.234714971061,1751.0687,8.5583
1992-12-31,111.45274651766,1957.4054,8.0834
1993-12-31,128.88926295116,2230.8412,8.2519
1994-12-31,146.6837789591,2502.7086,7.997
1995-12-31,169.27891659284,2848.6225,8.1203
1996-12-31,183.03523742928,3039.8921,5.6519
1997-12-31,150.18045656573,2462.4144,-2.7536
1998-12-31,113.67559678774,1841.043,-7.634
1999-12-31,126.66921177894,2028.5688,4.5723
2000-12-31,126.39222425379,2004.1071,4.4552
2001-12-31,120.2964761804,1889.9714,3.4442
2002-12-31,134.30090440002,2091.1789,6.149
2003-12-31,152.28061524589,2350.8455,7.1892
2004-12-31,172.89568515466,2647.2607,6.2893
2005-12-31,189.3184084686,2876.2458,4.1876
2006-12-31,221.75829602162,3343.786,4.9678
2007-12-31,262.94262145505,3934.6909,5.4352
2008-12-31,291.38298243095,4327.7975,1.7257
2009-12-31,281.71063018732,4154.1874,-0.6906
2010-12-31,341.10476632917,4996.3721,7.5134
2011-12-31,370.81873962362,5396.6436,0.8401
2012-12-31,397.55832527858,5748.6327,7.2428
2013-12-31,420.33365459255,6041.1339,2.6875
2014-12-31,407.33904019765,5822.3778,0.9845
2015-12-31,401.29623822808,5708.7941,3.134
2016-12-31,413.36634974751,5854.4639,3.4352
2017-12-31,456.35681353676,6436.7897,4.1777
2018-12-31,506.75420840448,7124.5588,4.2229
2019-12-31,543.97669179389,7628.576,2.1146
2020-12-31,500.45726495576,7001.7855,-6.0669
2021-12-31,505.56806398881,7060.8977,1.4921
2022-12-31,495.42334304962,6909.9563,2.5976
